propertyTaxes_id,id,2021.total,2022.total,2020.total,2023.total,2018.total,2019.total,2017.total,2016.total
0,"11940-County-Rd,-230,-Somerville,-TX-77879",,,,,,,,
1,"5207-Fleet-Ave,-Apt-2,-Cleveland,-OH-44105",,,,,,,,
2,"17425-Tyler-St-NE,-Ham-Lake,-MN-55304",,,,,,,,
3,"6551-Annie-Oakley-Dr,-Apt-426,-Henderson,-NV-89014",758.0,,,,,,,
4,"3924-Plumosa-Dr,-Saint-James-City,-FL-33956",,,,,,,,
5,"9400-Fredericksburg-Rd,-Apt-2802,-San-Antonio,-TX-78240",,,,,,,,
6,"5798-Lake-Cyrus-Blvd,-Hoover,-AL-35244",,4075.0,,,,,,
7,"321-Walnut-St,-Madison,-WI-53726",,,,,,,,
8,"4649-S-Hills-Dr,-Folsom,-CA-95630",,,5937.0,,,,,
9,"2375-Westwood-Blvd,-Los-Angeles,-CA-90064",,,,,,,,
10,"2329-Dawson-Forest-Rd-E,-Dawsonville,-GA-30534",1959.0,,21.0,,,,,
11,"PO-Box-1453,-Groves,-TX-77619",,,,,,,,
12,"370-Hanover-Arms-Ct,-Winston-Salem,-NC-27104",,2014.0,1903.0,,,,,
13,"5901-W-Behrend-Dr,-Apt-1132,-Glendale,-AZ-85308",,,,,,,,
14,"4833-Sines-Ln,-Port-Charlotte,-FL-33981",,2433.0,,2196.0,,,,
15,"4140-Benton-St,-Denver,-CO-80212",,3262.0,2438.0,,,,,
16,"2413-Rocky-Ridge-Rd,-Vestavia,-AL-35243",,3084.0,,,,,,
17,"5953-Triple-Crown-Dr,-Medina,-OH-44256",,5111.0,,,,,,
18,"8204-Rambling-Rose-Ln,-Laurel,-MD-20724",,5037.0,,,4404.0,,,
19,"53960-Lawson-Creek-Dr,-Shelby-Township,-MI-48316",,,,,,,,
20,"1154-N-Sycamore-Ave,-Apt-4,-Los-Angeles,-CA-90038",,,7406.0,7787.0,,,,
21,"2930-Brougham-Ave,-Jacksonville,-FL-32246",,3116.0,,242.0,,,,
22,"3630-Muirfield-Dr,-Titusville,-FL-32780",,891.0,,,,,,
23,"2100-St-Thomas-St,-Unit-207,-New-Orleans,-LA-70130",,,,,,,,
24,"12154-Marilla-Dr,-Saratoga,-CA-95070",,3521.0,,,,,,
25,"155-E-Rodeo-Rd,-Lot-66,-Casa-Grande,-AZ-85122",,,,,,,,
26,"2347-Walden-Dr,-Augusta,-GA-30904",,445.0,,,,,,
27,"154-Market-St,-Portsmouth,-NH-03801",,,,,,,,
28,"3235-W-Woodlawn-Ave,-San-Antonio,-TX-78228",,2710.0,,,,2530.0,,
29,"1147-Rosewood-Ln,-Ste-3,-Layton,-UT-84041",,,,,,,,
30,"1882-Dillingham-Dr,-Allegan,-MI-49010",,,2670.0,,,,,
31,"5900-Essex-Rd,-Oak-Forest,-IL-60452",,,,,,6557.0,,
32,"1722-7th-Ave-N---B,-Nashville,-TN-37208",4808.0,5539.0,,,,,3930.0,
33,"4658-Midway-St,-Saginaw,-MI-48638",,2802.0,,,,,,
34,"2055-Allen-Dr,-Apt-103,-Annapolis,-MD-21401",,,,,,,,
35,"1209-N-9th-St,-Salina,-KS-67401",,735.0,,,,,,
36,"710-Concho-Pl,-College-Station,-TX-77840",,,,,,,,
37,"729-W-Randolph-St,-Chicago,-IL-60661",,,,,,,,
38,"23-W-Chicago-Ave,-Apt-603,-Chicago,-IL-60654",,,,,,,,
39,"108-Willard-Ave,-Farmingdale,-NY-11735",,,6789.0,7649.0,,,,
40,"Oak-Ridge-Dr,-Lot-1,-Shell-Knob,-MO-65747",,,,,,,,
41,"1672-Se-Hickory-Way,-Gresham,-OR-97080",,,,,,,,
42,"11724-Decade-Ct,-Reston,-VA-20191",,6086.0,,6907.0,,,,
43,"130-Randomwood-Way,-Alpharetta,-GA-30022",5444.0,4990.0,,,,,,
44,"56-Dogwood-Drive-Cir,-Ocala,-FL-34472",,2294.0,,,,,,
45,"109-Blue-Ridge-Dr,-Pickens,-SC-29671",,,,,,,,
46,"300-E-9th-St,-Apt-203,-Dallas,-TX-75203",,,,,,,,
47,"171-Quail-Ridge-Rd,-Selah,-WA-98942",,,,,,,,
48,"261-Sparrow-Ln,-Unit-19,-Lexington,-NC-27295",,,,,,,,
49,"278-Carrollton-St,-Bremen,-GA-30110",,,,,,,,
50,"3225-Randy-Rd,-Joliet,-IL-60431",,9086.0,,,,,,
51,"1310-Decatur-St,-Pittsburgh,-PA-15233",,,,551.0,,,,
52,"802-Beaufort-St,-Laramie,-WY-82072",,,,,,,,
53,"1469-Beacon-St,-Apt-6,-Brookline,-MA-02446",,,,,,,,
54,"2217-S-Genesee-Ave,-Apt-6,-Los-Angeles,-CA-90016",,,,,,,,
55,"11468-Johannsen-Rd,-Ketchikan,-AK-99901",,,,,,,,
56,"1280-San-Tomas-Aqn-Rd,-Apt-113,-San-Jose,-CA-95117",,,,,,,,
57,"9944-Walnut-St,-Apt-2034,-Dallas,-TX-75243",,,,,,,,
58,"237-Holly-Berry-Dr,-Frankfort,-KY-40601",202.0,,,,,,,
59,"568-N-Chancery-St,-Mcminnville,-TN-37110",,,,,,,,
60,"38-Sylvia-Ln,-Plainview,-NY-11803",,,15082.0,16512.0,,,,
61,"4816-Bratcher-St,-Fort-Worth,-TX-76119",,1939.0,,,,,,
62,"168-Heritage-Hill-Rd,-New-Canaan,-CT-06840",,,9958.0,10441.0,,,,
63,"PO-Box-607,-Dauphin-Island,-AL-36528",,,,,,,,
64,"137-N-1050-W,-Cedar-City,-UT-84720",,1579.0,,,,,,
65,"5209-Denver-Dr,-Galveston,-TX-77551",,2992.0,,,3446.0,,,
66,"9125-Wildwood-Dr,-Highland,-IN-46322",2353.0,,,,,,,
67,"1112-Spencer-St,-Allen,-TX-75013",,15479.0,,,,,,
68,"2560-Superior-St,-Opa-Locka,-FL-33054",,,,,,,,
69,"18023-Hillgrove-Ave,-Cleveland,-OH-44119",,,,,,,,
70,"938-E-8th-St,-Jeffersonville,-IN-47130",877.0,1240.0,,,,,,
71,"114-Windstone-Blvd,-Powell,-TN-37849",,1079.0,,,,,,
72,"2200-Bronson-St,-Fort-Collins,-CO-80526",,3162.0,,,,,,
73,"20-Beechwood-Ave,-York,-ME-03909",,,,,,,,
74,"9708-Sw-Arikara-Dr,-Tualatin,-OR-97062",,5466.0,,,,,,
75,"11903-Sw-31st-Rd,-Gainesville,-FL-32608",,,,,,,,
76,"5420-River-Oaks-Blvd,-River-Oaks,-TX-76114",,,,,,,,
77,"1455-W-Ina-Rd,-Tucson,-AZ-85704",,2657.0,,2766.0,,,,
78,"546-D-St,-Blaine,-WA-98230",1040.0,,,,,,,
79,"12921-S-Tortoise-Ln,-Riverton,-UT-84096",,3599.0,,,,,,
80,"14654-S-Bloom-Dr,-Unit-302,-Herriman,-UT-84096",,2348.0,,,,,,
81,"2906-Medina-Dr,-Jonesboro,-GA-30236",,2198.0,1646.0,,,,,
82,"63-Macdougal-St,-Brooklyn,-NY-11233",,,,,,866.0,,
83,"455-W-Sunset-Dr,-Talladega,-AL-35160",,,,,,566.0,,
84,"501-Peachtree-Club-Dr,-Peachtree-City,-GA-30269",,,2070.0,,,1926.0,,
85,"1109-Twin-Leaf-Ter,-Webster,-NY-14580",6162.0,,,,,,,
86,"400A-Larkin-Ct,-Warrensburg,-MO-64093",,,,,,,,
87,"8-Colonial-Dr,-Lexington,-NC-27292",,,,950.0,,,,
88,"752-Guna-Dr,-New-Braunfels,-TX-78130",3685.0,3528.0,,,,,,
89,"8405-Briarwood-Ln,-Austin,-TX-78757",7480.0,7364.0,7252.0,,,,,
90,"2517-S-Johnson-St,-New-Orleans,-LA-70125",,,1053.0,,,,,
91,"2215-Opal-Field-Ln,-Richmond,-TX-77469",,,,,,,,
92,"244-Apollo-Dr,-Bumpus-Mills,-TN-37028",,,,,,,,
93,"1415-E-Wilt-St,-Philadelphia,-PA-19125",,,2256.0,,,,,
94,"2538-W-Division-St,-Chicago,-IL-60622",,,,,,,,
95,"4613-N-Bain-Ave,-Fresno,-CA-93722",4000.0,,,,,3385.0,,
96,"Park-Part-8-Pl,-Lot-40,-Tiffin,-IA-52340",,,,,,,,
97,"3414-Denver-St,-Memphis,-TN-38127",837.0,827.0,,,,,,
98,"28-Andrew-Dr,-Manahawkin,-NJ-08050",8622.0,,,,,,,
99,"1137-Odenton-Rd,-Odenton,-MD-21113",,4366.0,,4454.0,,,,
100,"250-Kensington-Rd,-Apt-31,-Berlin,-CT-06037",,,,,,,,
101,"1045-Delaware-Dr,-Carrollton,-TX-75010",,6681.0,6187.0,,,6060.0,,
102,"9504-Amberleigh-Ln,-Unit-R,-Perry-Hall,-MD-21128",,2777.0,2909.0,2086.0,,,,
103,"8504-Ridgewood-Rd,-Unit-601,-Rock-Island,-IL-61201",,3178.0,,,,,,
104,"2313-E-26th-St,-Apt-9,-Erie,-PA-16510",,,,,,,,
105,"790-Boulder-Dr,-Bethel-Park,-PA-15102",,5791.0,,,,,,
106,"1729-Kent-St,-Los-Angeles,-CA-90026",,,,,,,,
107,"11915-Kirkbriar-Dr,-Houston,-TX-77089",,,2107.0,,,,,
108,"1232-Westfield-Dr,-Maumee,-OH-43537",4948.0,4695.0,,,,,,
109,"10B-Idared-Ln,-Halfmoon,-NY-12065",,,,,,,,
110,"6822-26th-Ave-NE,-Seattle,-WA-98115",,7881.0,6454.0,,,,,
111,"2240-W-Broadway-Rd,-Ste-108,-Mesa,-AZ-85202",,,,,,,,
112,"3048-N-Bend-Rd,-Cincinnati,-OH-45239",,,,,,,,
113,"207-Midway-Ave,-Seaside-Park,-NJ-08752",,8149.0,7978.0,,,,,
114,"334-High-St,-Rock-Hill,-SC-29730",,,608.0,,,,,
115,"98-Queensberry-St,-Apt-5,-Boston,-MA-02215",,,,,,,,
116,"4900-Schumacher-Rd,-High-Ridge,-MO-63049",,3493.0,,,,,,
117,"771-Tuggle-Hill-Rd,-Rogersville,-TN-37857",,2633.0,,,,,,
118,"766-Hydrangea-Dr,-Vacaville,-CA-95687",,3950.0,,,,,,
119,"1110-Mahogany-Way,-Apt-203,-Delray-Beach,-FL-33445",279.0,,,,,533.0,,
120,"6117-Calwood-Way,-Rockville,-MD-20852",,6715.0,,,,,,
121,"3465-Brownsville-Rd-Ext,-Finleyville,-PA-15332",,,,,,,,
122,"9999-Ranch-Rd,-Laurens,-SC-29360",,,,,,,,
123,"3347-Wiehle-St,-Philadelphia,-PA-19129",3004.0,,,3213.0,,,,
124,"307-S-Center-St,-Weimar,-TX-78962",,,,,,,,
125,"21-Eddings-Ln,-Alabaster,-AL-35007",,1625.0,,,,,,
126,"807-Montgomery-Ave,-Phoenixville,-PA-19460",,,,5863.0,,,,
127,"563-Marshall-Ave,-Reading,-PA-19606",,,,4171.0,,,,
128,"4365-Blackhawk-Dr,-Willits,-CA-95490",,,,,,,,
129,"7515-Broadmoor-Cv,-Temple,-TX-76502",,7575.0,,,,,,
130,"1700-Carver-Ave,-Richmond,-TX-77469",,,,,,,,
131,"188-Railroad-St,-Apt-3,-Manville,-RI-02838",,,,,,,,
132,"1000-Kings-Hwy,-Unit-74,-Punta-Gorda,-FL-33980",,927.0,,,,,,
133,"209-S-Prospect-Ave,-Apt-101,-Redondo-Beach,-CA-90277",,,,,,,,
134,"1022-Level-Creek-Rd,-Apt-207,-Sugar-Hill,-GA-30518",,,,,,,,
135,"9427-Kimmel-Ln,-Charlotte,-NC-28216",1440.0,1440.0,,2544.0,,,,
136,"1293-N-River-Rd,-Apt-122,-Denham-Springs,-LA-70726",,,,,,,,
137,"361-Wilson-Ave,-Lyndhurst,-NJ-07071",10220.0,,,,,9925.0,,
138,"1834-Santa-Fe,-Lewisville,-TX-75077",3916.0,3969.0,,,,,,
139,"3420-Donner-Trl,-Wake-Forest,-NC-27587",,,,2153.0,,,,
140,"1-Smeton-Pl,-Apt-102,-Towson,-MD-21204",,1768.0,,1522.0,,1903.0,,
141,"413-4th-St-E,-Jasper,-MN-56144",,,,,,,,
142,"3160-W-Shawn-Way,-Lot-547,-Ash-Fork,-AZ-86320",,,,,,,,
143,"PO-Box-1050,-Wrightsville-Beach,-NC-28480",,,,,,,,
144,"131-S-2460-W,-Hurricane,-UT-84737",,,,,,,,
145,"912-N-19th-St,-Mcallen,-TX-78501",1196.0,,,,,,,
146,"24217-Ne-136th-St,-Excelsior-Springs,-MO-64024",,,1606.0,,,,,
147,"850-Big-Five-Rd,-Spc-40,-Pahrump,-NV-89048",,,,,,,,
148,"1441-Sterns-Dr,-Leesburg,-FL-34748",,,,,,,,
149,"337-S-Prospect-St,-Marion,-OH-43302",,1657.0,,,,,,
150,"1827-Red-Elm,-San-Antonio,-TX-78227",,3837.0,,,,,,
151,"5-Vickilee-Dr,-Wrightsville,-PA-17368",,,4045.0,4388.0,,,,
152,"668-Lpga-Blvd,-Apt-1203,-Daytona-Beach,-FL-32117",,,,,,,,
153,"125-N-Saxony-Dr,-Olathe,-KS-66061",,,,,,,,
154,"County-4470-Rd,-Lot-1,-Ozone,-AR-72854",,,,,,,,
155,"1160-Se-40th-Ave,-Hillsboro,-OR-97123",,3807.0,,,,,,
156,"12313-Foxmoor-Peak-Dr,-Riverview,-FL-33579",,2728.0,2380.0,,,,,
157,"PO-Box-2471,-Columbia,-SC-29202",,,,,,,,
158,"11911-Wake-Bluff-Dr,-Raleigh,-NC-27614",,5943.0,,6397.0,,,,
159,"4065-E-Erie-St,-Unit-102,-Gilbert,-AZ-85295",1298.0,1262.0,1324.0,,,157.0,,
160,"22262-Buffalo-Ave,-Port-Charlotte,-FL-33952",,3238.0,,,,,,
161,"728-Ocean-Ave,-Monterey,-CA-93940",,,,,,,,
162,"106-Sugarcreek-Ct,-Grovetown,-GA-30813",,,,,,3948.0,,
163,"361-17th-St-NW,-Unit-1016,-Atlanta,-GA-30363",,,,,,,4146.0,
164,"221-W-Vine-St,-Bartow,-FL-33830",,2237.0,,,,,,
165,"3569-E-Portland-Ave,-Tacoma,-WA-98404",,,,6202.0,,,,
166,"3130-Mangum-Rd,-Apt-39,-Houston,-TX-77092",,,,,,,,
167,"26350-Cat-Tail-Dr,-Unit-203,-Galveston,-TX-77554",6297.0,,,,,,,
168,"10512-Woodstock-Rd,-Odessa,-FL-33556",,,,,,6321.0,,
169,"520-Sandra-Dr,-Oxford,-OH-45056",,,,,,,,
170,"1697-Village-Ave,-Garnet-Valley,-PA-19060",,,,9587.0,,,,
171,"12389-Wade-St,-Detroit,-MI-48213",,420.0,,,871.0,,,
172,"3713-W-56th-Pl,-Chicago,-IL-60629",3151.0,,,,2814.0,,,
173,"14601-Keystone-Ave,-Apt-C1,-Midlothian,-IL-60445",303.0,,,,641.0,,,
174,"8413-S-20th-St,-Phoenix,-AZ-85042",1604.0,1555.0,,,,,,
175,"1500-Speight-Ave-Apt-C,-Waco,-TX-76706",,,,,,,,
176,"38-Pheasant-Run,-Old-Tappan,-NJ-07675",,,,,,,,
177,"131-N-Grant-Ave,-Apt-1,-American-Fork,-UT-84003",,,,,,,,
178,"10-Mira-Loma,-New-Braunfels,-TX-78130",,14978.0,,,12366.0,,,
179,"2861-Thaxton-Dr,-Apt-48,-Palm-Harbor,-FL-34684",,,1429.0,,,,,
180,"4120-W-Cullerton-St,-Chicago,-IL-60623",,,,,2555.0,,,
181,"11625-W-Atlantic-Blvd,-Apt-36,-Coral-Springs,-FL-33071",,,,,,,,
182,"3403-N-Garrison-St,-Tampa,-FL-33619",,2838.0,,,,,,
183,"23W255-Woodcroft-Dr,-Glen-Ellyn,-IL-60137",,,,,6323.0,,,
184,"6940-Harding-Ave,-Apt-4,-Miami-Beach,-FL-33141",,,,,,,,
185,"366-S-Saint-Clair-St,-Painesville,-OH-44077",,2087.0,,,,,,
186,"29141-Us-Hwy,-19-N-Unit-80,-Clearwater,-FL-33761",,,,,,,,
187,"163-Westpoint-Dr,---170,-Carlisle,-PA-17013",,,,,,,,
188,"1718-E-Primera-Dr,-Casa-Grande,-AZ-85122",,1510.0,1501.0,1534.0,,,,
189,"1203-Se-53rd-Ave,-Portland,-OR-97215",7291.0,7417.0,,,,,,
190,"1470-Swamp-Ln,-Geneva,-FL-32732",,355.0,,,,,,
191,"920-Kinderkamack-Rd,-Apt-Rear,-River-Edge,-NJ-07661",,,,,,,,
192,"5882-Sir-Edward-Ln,-Florissant,-MO-63033",,3100.0,2747.0,,,,,
193,"4232-W-Stiles-St,-Philadelphia,-PA-19104",,,508.0,,,,,
194,"763-Peavy-Rd,-Dallas,-TX-75218",,32719.0,29966.0,,,,,
195,"8306-Sw-59th-Ter,-Ocala,-FL-34476",,4706.0,,,,,,
196,"414-E-Pine-St,-Apt-212,-Orlando,-FL-32801",,,,,,,,
197,"637-Preston-St,-Columbus,-TX-78934",,769.0,,,,,,
198,"3207-Merrick-Dr,-Peachtree-City,-GA-30269",,,,,,,,
199,"640-N-Park-Ave,-Apt-29,-Winter-Park,-FL-32789",2593.0,,,,,,,
200,"PO-Box-293,-Surfside,-CA-90743",,,,,,,,
201,"3893-Big-Mountain-Eagle-302-Rd,-Unit-Morning,-Whitefish,-MT-59937",,,,,,,,
202,"3400-Stevenson-Blvd,-Apt-B32,-Fremont,-CA-94538",,,,,,,,
203,"21-Woodlee-Rd,-Apt-206,-Staunton,-VA-24401",,,,,,,,
204,"950-Allen-Ave,-Donora,-PA-15033",,,,,,,,
205,"5205-Allen-St,-Unit-G,-Houston,-TX-77007",9620.0,7651.0,2963.0,,,,,
206,"2278-Baldwin-Mill-Rd,-Fallston,-MD-21047",,,,,,,,
207,"214-Election-St,-Benton,-IL-62812",,107.0,,,,,,
208,"10796-Sw-24th-St,-Miami,-FL-33165",,,,,,,,
209,"6101-W-Business-83,-Lot-57,-Harlingen,-TX-78552",,,,,,,,
210,"20112-10th-Dr-SE,-Bothell,-WA-98012",,,4765.0,,,,,
211,"250-Martins-Lndg,-Apt-110,-North-Reading,-MA-01864",,,,,,,,
212,"18959-E-Montana-Dr,-Aurora,-CO-80017",1746.0,1692.0,,,,1434.0,,
213,"34-Northport-Ave,-Belfast,-ME-04915",,,,,,,,
214,"Sparks-Mill-At-Rt-213-N-Church-Hill-Rd,-Centreville,-MD-21617",,,,,,,,
215,"51-Walnut-St,-Apt-3,-Waterbury,-CT-06702",,,,,,,,
216,"1333-Heulu-St,-Apt-903,-Honolulu,-HI-96822",,,,,,,,
217,"12526-S-Lowe-Ave,-Chicago,-IL-60628",,,,,,,,
218,"7748-Danube-St,-Indianapolis,-IN-46239",3188.0,3862.0,2978.0,,,,,
219,"454-Randolph-St-NW,-Washington,-DC-20011",,,4604.0,8384.0,,,,
220,"3073-Bayshore-Dr,-Tallahassee,-FL-32309",,3161.0,,,,2485.0,,
221,"43531-Acacia-Ave,-Spc-9,-Hemet,-CA-92544",,,,,,,,
222,"3913-Roan-Ct-W,-West-Palm-Beach,-FL-33403",,,,,,,,
223,"1313-Robinhood-Rd,-Wilmington,-NC-28401",,,,,,1802.0,,
224,"6991-Raburn-Rd,-Pensacola,-FL-32526",2726.0,3034.0,,,,,,
225,"316-Reed-Rd,-New-Market,-AL-35761",,457.0,,,,,,
226,"836-Belmont-St,-Watertown,-MA-02472",,,,11187.0,,,,
227,"PO-Box-5109,-Anaheim,-CA-92814",,,,,,,,
228,"123-Stoneybrook-Rd,---B,-Salisbury,-NC-28147",,,,,,,,
229,"2905-Mitchellville-Rd,-Ste-102,-Bowie,-MD-20716",,,,,,,,
230,"332-Wilson-Way,-Chowchilla,-CA-93610",,,,2241.0,,1053.0,,
231,"1115-Cordova-St,-Apt-117,-Pasadena,-CA-91106",,,,,,,,
232,"796-Mckee-Rd,-Harvest,-AL-35749",,564.0,,,,,,
233,"11840-Calabash-Ave,-Fontana,-CA-92337",,2050.0,,2058.0,,1958.0,,
234,"1703-Sw-101st-Way,-Miramar,-FL-33025",,2440.0,,,,,,
235,"8019-Hayes-St-NE,-Minneapolis,-MN-55432",,,,4184.0,,,,
236,"45546-Aladdin-St,-Apt-D104,-Indio,-CA-92201",,1357.0,,,,1021.0,,
237,"1476-Goodfellow-Blvd,-Saint-Louis,-MO-63112",,,,,,,,
238,"3221-Winding-Rd,-Partlow,-VA-22534",,,,,,,,
239,"240-E-47th-St,-Apt-17B,-New-York,-NY-10017",,,,,21514.0,,,
240,"106-E-Monroe-St,-Pauls-Valley,-OK-73075",,,,,,,,
241,"1037-Bethany-Church-Rd,-Winston-Salem,-NC-27107",,,,,,,,
242,"201-E-27th-St,-Long-Beach-Township,-NJ-08008",,,9889.0,,,,,
243,"1160-Great-River-Pkwy-SE,-Lawrenceville,-GA-30045",,,,,,,,
244,"8950-Timothy-Ct,-Orland-Park,-IL-60462",5150.0,,5072.0,,6820.0,,,
245,"1027-Sw-28th-St,-Oklahoma-City,-OK-73109",,629.0,,,,,,
246,"2008-Julia-Ave,-Henderson,-NC-27536",,110.0,,230.0,,,,
247,"3675-Chimney-Ridge-Ct,-Ellenwood,-GA-30294",,2161.0,,,,,,
248,"29-Quaker-Rd,-Pennsville,-NJ-08070",,7331.0,,,,,,
249,"11255-Fairford-Ave,-Norwalk,-CA-90650",,,,4632.0,,,,
250,"8217-Aylesbury-Ave,-Las-Vegas,-NV-89129",1172.0,,,,,,,
251,"22W517-Parkview-Dr,-Glen-Ellyn,-IL-60137",,,,,9414.0,,,
