propertyTaxes_id,id,2021.total,2022.total,2020.total,2023.total,2018.total,2019.total,2017.total,2016.total
252,"4286-Mary-Ridge-Dr,-Randallstown,-MD-21133",,,3027.0,,,,,
253,"1141-Norton-Dr,-Far-Rockaway,-NY-11691",,4959.0,,,,4542.0,,
254,"3725-W-Nancy-Ln,-Phoenix,-AZ-85041",2123.0,2106.0,,,,,,
255,"3490-Trophy-Lake-Pl,-Pagosa-Springs,-CO-81147",,,,,,,,
256,"477-Madeline-Dr,-Pasadena,-CA-91105",,22755.0,,,,20989.0,,
257,"21531-E-Aberdeen-Dr,-Centennial,-CO-80015",2659.0,2649.0,,,,2445.0,,
258,"5637-Ridgewood-St,-Philadelphia,-PA-19143",239.0,239.0,239.0,,,,,
259,"17806-N-134th-Dr,-Sun-City-West,-AZ-85375",,985.0,1002.0,,,,,
260,"82-S-Broadway,-Frostburg,-MD-21532",,,1129.0,,,,,
261,"1255-N-Arizona-Ave,-Unit-1114,-Chandler,-AZ-85225",,1628.0,157.0,,,,,
262,"805-Parkland-Pl,-Glen-Allen,-VA-23059",2642.0,,,,,,,
263,"836-85th-St,-Miami-Beach,-FL-33141",,,6623.0,,,,,
264,"5945-W-Parker-Rd,-Apt-2238,-Plano,-TX-75093",,,,,,,,
265,"4400-Spring-Harbor-Dr,-Millington,-TN-38053",1340.0,1317.0,,,,,,
266,"1217-S-Gertruda-Ave,-Redondo-Beach,-CA-90277",,,,,,2327.0,,
267,"17609-Fox-Ct,-Weed,-CA-96094",,2243.0,,,,,,
268,"3440-Highway,-111,-Anacoco,-LA-71403",,,,,,,,
269,"1413-Hunningdon-Woods-Blvd,-Chesapeake,-VA-23320",,3948.0,,,,3383.0,,
270,"708-S-Benton-St,-Cape-Girardeau,-MO-63703",,,,207.0,,,,
271,"211-Simsbury-Ln,-Forest,-VA-24551",,1929.0,,,,,,
272,"109-Lindsey-Ct,-Franklin-Park,-NJ-08823",,4484.0,,,,,,
273,"2517-Pineapple-Ave,-Melbourne,-FL-32935",,5923.0,,,,,,
274,"9514-Pondside-Ln,-Charlotte,-NC-28213",,1700.0,,,,,,
275,"2991-Marshfield-Preserve-Way,-Kissimmee,-FL-34746",,8226.0,,,,,,
276,"2414-1-2-E-10th-St,-Indianapolis,-IN-46201",,,,,,,,
277,"4342-S-Saint-Louis-Ave,-Chicago,-IL-60632",,,,,3925.0,,,
278,"2323-Southern-Oak-Dr,-Apt-2078,-Arlington,-TX-76011",,,,,,,,
279,"7817-Opal-Dr,-Chattanooga,-TN-37416",,2240.0,,,,,,
280,"3736-N-Beehive-St,-Coeur-D-Alene,-ID-83815",,,1124.0,,,1177.0,,
281,"20-Walts-Hl,-Bloomfield,-CT-06002",,7662.0,,,,,,
282,"1181-60th-Ave,-Oakland,-CA-94621",,,2660.0,,,,,
283,"PO-Box-279,-Elrama,-PA-15038",,,,,,,,
284,"1100-N-Washington-Ave-Apt-J,-Douglas,-AZ-85607",,,,,,,,
285,"1100-W-81st-Pl,-Los-Angeles,-CA-90044",,4827.0,,5055.0,,4621.0,,
286,"13-Milford-Ln,-Glen-Cove,-NY-11542",,917.0,,,,,,
287,"1601-Ponderosa-Dr,-Jefferson-City,-TN-37725",,,,,,,,
288,"34455-Hazelwood-St,-Westland,-MI-48186",,3358.0,,,,,,
289,"4643-Chetwood-Ln-SW,-Albuquerque,-NM-87105",,1572.0,,,,,,
290,"6909-Juniper-Rd,-Little-Rock,-AR-72209",962.0,1051.0,956.0,,,956.0,,
291,"4138-Gregory-St,-Oakland,-CA-94619",,,16464.0,17629.0,,,,
292,"147-Westmoreland-Rd,-Whitesboro,-NY-13492",,1556.0,,,,,,
293,"2130-Park-Vlg,-Denison,-TX-75020",,4182.0,,,,,,
294,"1372-Carey-Glen-Cir,-Orlando,-FL-32824",3547.0,4160.0,,,,,,
295,"21910-Cypress-Dr,-Apt-36L,-Boca-Raton,-FL-33433",,,,,,,,
296,"1864-E-Rosewood-Ct,-Apt-D,-Ontario,-CA-91764",,,,,,,,
297,"305-Marilyn-Glover-Dr,-Elgin,-OK-73538",,,,,,,,
298,"1301-Hillbrow-Ln,-Apt-204,-Raleigh,-NC-27615",,,,1427.0,,,,
299,"214-Bonnavue-Dr,-Hermitage,-TN-37076",,,1512.0,,,,,
300,"267-Panorama-Trl,-Rochester,-NY-14625",,,,,,,,
301,"1245-Wild-Hawthorn-Way,-Reston,-VA-20194",6223.0,6702.0,6144.0,,,,,
302,"4846-Lago-Vista-Cir,-Land-O-Lakes,-FL-34639",,,5301.0,,,,,
303,"411-Jasmine-Ave-Apt-B,-Corona-Del-Mar,-CA-92625",,,,,,,,
304,"126-New-Britain-Ave,-Apt-D2,-Plainville,-CT-06062",,,,,,,,
305,"2008-De-Verne-St,-Austin,-TX-78704",12855.0,,,,,11834.0,,
306,"270-Wallabout-St,-Apt-5B,-Brooklyn,-NY-11206",15688.0,10130.0,,,,4035.0,,
307,"2302-N-36th-St,-Apt-10,-Phoenix,-AZ-85008",,,,,,,,
308,"16313-Braeburn-Ridge-Trl,-Delray-Beach,-FL-33446",,6869.0,6496.0,,,,,
309,"4224-S-Nucla-Way,-Aurora,-CO-80013",1597.0,1587.0,,,,,,
310,"1711-Melrose-Ave,-Irwin,-PA-15642",3053.0,,,,,,,
311,"3834-Landon-Park-Dr,-Katy,-TX-77449",,2106.0,2045.0,,,,,
312,"107-Penny-Dr,-Athens,-GA-30605",,2820.0,,,,,,
313,"4519-N-Village-Pkwy,-Litchfield-Park,-AZ-85340",,6481.0,2302.0,,,,,
314,"895-Edgewater-Blvd,-Tahlequah,-OK-74464",,,,,,,,
315,"2924-Arbusto,-Grand-Prairie,-TX-75054",,11101.0,,,,,,
316,"6526-Cereus-Ct,-Laredo,-TX-78043",,192.0,,,,,,
317,"804-Arbor-Hill-Cir,-Minneola,-FL-34715",,1119.0,,,,,,
318,"10-Sampson-Ave,-Edgartown,-MA-02539",,,1246.0,,,,,
319,"W335S5050-Fox-Hollow-Dr,-Dousman,-WI-53118",,,,,,,,
320,"7501-Pond-View-Ct,-Tampa,-FL-33615",1046.0,1059.0,982.0,,,,,
321,"3202-Morganford-Rd,-Saint-Louis,-MO-63116",,,,,,,,
322,"107-S-Smallwood-Pl,-Charlotte,-NC-28208",,2420.0,,3341.0,1450.0,,,
323,"419-Morris-Ave-SE,-Grand-Rapids,-MI-49503",,,,,9538.0,,,
324,"10415-Hyannisport-Loop,-San-Antonio,-FL-33576",,3054.0,2945.0,,,,,
325,"235-Old-Bethel-Church-Rd,-Winchester,-VA-22603",950.0,,,,,,,
326,"1221-W-Butler-Dr,-Chandler,-AZ-85224",,1586.0,1654.0,,,,,
327,"10-Lexington-Ave,-Cranford,-NJ-07016",,8678.0,,,,,,
328,"37220-Neukom-Ave,-Zephyrhills,-FL-33541",,3265.0,,,,,,
329,"8000-W-Broward-Blvd,-Ste-719,-Plantation,-FL-33388",,,,,,,,
330,"6041-E-Freshman-Dr,-Saginaw,-MI-48604",,,,,,,,
331,"Harold-Cemetery-Rd,-Greeneville,-TN-37745",,,,,,,,
332,"881-Lincoln-Rd,-Grosse-Pointe,-MI-48230",,,5635.0,,,5575.0,,
333,"6808-Stratford-Ct,-Saint-Paul,-MN-55125",,,,4300.0,,,,
334,"805-Thackeray-Trl,-Oconomowoc,-WI-53066",,4893.0,,,,,,
335,"5219-Byers-Rd,-Alpharetta,-GA-30022",2291.0,2415.0,2265.0,,,,,
336,"334-Huntcliff-Village-Ct,-Atlanta,-GA-30350",,,,,,,,
337,"2912-Elkmont-Ct,-Little-Rock,-AR-72204",749.0,797.0,1116.0,803.0,,,,
338,"1029-Nevada-Sky-St,-Las-Vegas,-NV-89128",1019.0,,,,,,,
339,"720-N-Eureka-St,-Redlands,-CA-92374",,,,,,,,
340,"13001-116th-Ln,-Largo,-FL-33778",,,,,,,,
341,"611-E-Fairmeadows-Dr,-Duncanville,-TX-75116",,4116.0,2170.0,3770.0,,,,
342,"406-Sw-15th-Pl,-Cape-Coral,-FL-33991",,,,,,,,
343,"2600-N-2700-W,-Plain-City,-UT-84404",,,,,,,,
344,"3145-Red-Oak-Trl,-Decatur,-GA-30034",,3536.0,2651.0,,,,,
345,"1315-Henley-St,-Apt-1006,-Naples,-FL-34105",,,,,,,,
346,"2196-Chandlers-Walk-Ln,-Jacksonville,-FL-32246",,4493.0,,,,,,
347,"35348-Barton-Dr,-Zephyrhills,-FL-33541",,1321.0,,,,,,
348,"2824-Longleaf-Ct,-Kissimmee,-FL-34746",,3300.0,3220.0,3407.0,,3131.0,,
349,"638-N-Orange-Dr,-Los-Angeles,-CA-90036",,,,,,,,
350,"1590-Sw-Falmouth-Ave,-Port-Saint-Lucie,-FL-34953",,,,,,,,
351,"County-Rds---H-And-Road-30-Rd,-Brush,-CO-80723",,,,,,,,
352,"1901-Lakeshore-Cir,-Longwood,-FL-32750",,4210.0,4772.0,,,,,
353,"1609-W-Schunior-St,-Apt-1406,-Edinburg,-TX-78541",,,,,,,,
354,"2022-Edgewood-Dr,-Bridgeport,-TX-76426",2774.0,,,,,,,
355,"4980-Community-Cir,-Milton,-FL-32583",,444.0,,,,,,
356,"239-Fowler-Cir,-Dobson,-NC-27017",,,,,,,,
357,"502-Crater-Lake-Dr,-League-City,-TX-77573",,10663.0,,,,,,
358,"63-Maplecrest-Cir,-Jupiter,-FL-33458",,962.0,,,,,,
359,"655-N-Santa-Fe-Dr,-Unit-317,-Denver,-CO-80204",,,,,,,,
360,"6707-Utsa-Blvd,-Apt-4402,-San-Antonio,-TX-78249",,,,,,,,
361,"6428-W-Locust-St,-Milwaukee,-WI-53210",,3572.0,,,,,,
362,"275-114th-Ave-N,-Unit-6,-Saint-Petersburg,-FL-33716",,1590.0,,,,,,
363,"251-Birch-Ln,-Lakeland,-FL-33813",,1732.0,,,,,,
364,"5885-Ledro-Ln,-Myrtle-Beach,-SC-29577",6102.0,6336.0,698.0,,,,,
365,"183-Jerusalem-Rd,-Cohasset,-MA-02025",,,,,,,,
366,"301-Arbor-Ct,-Bolingbrook,-IL-60440",,,4271.0,,3679.0,4027.0,3290.0,3178.0
367,"325-Marche-Chase-Dr,-Apt-139,-Eugene,-OR-97401",,,,,,,,
368,"120-N-Everett-High-Rd,-Maryville,-TN-37804",,,,,,,,
369,"1352-27th-St-NW,-Washington,-DC-20007",,9618.0,,,,,,
370,"21185-County-Rd,-81-NW,-Big-Lake,-MN-55309",,,,,,,,
371,"750-Noonan-Rd,-York,-PA-17404",,3779.0,3588.0,,,,,
372,"45658-Ford-Rd,-Canton,-MI-48187",,,,,,,,
373,"PO-Box-554,-Fruitland-Park,-FL-34731",,,,,,,,
374,"7213-Idylwood-Ct,-Falls-Church,-VA-22043",,11345.0,,,,,,
375,"8100-W-Oakton-St,-Apt-203,-Niles,-IL-60714",,,,,,,,
376,"706-Yarmouth-Ct,-San-Diego,-CA-92109",23077.0,23237.0,,,,,,
377,"513-1st-Ave,-New-Bern,-NC-28560",,,,,,,,
378,"4607-Westgarden-Pl,-Katy,-TX-77449",,2734.0,113.0,,,,,
379,"8123-Merryvale-Ln,-Charlotte,-NC-28214",,,,2297.0,,,,
380,"7811-Amber-Ct,-Texas-City,-TX-77591",,8246.0,,,732.0,,,
381,"3201-Wendover-Rd,-Dallas,-TX-75214",,127578.0,,136325.0,,,,
382,"109-N-Main-St,-Apt-1203,-Memphis,-TN-38103",1872.0,1850.0,,,,,,
383,"231-26th-Ave-E,-Apt-208,-Seattle,-WA-98112",,,,,,,,
384,"7036-S-Winchester-Ave,-Chicago,-IL-60636",,,,,,,,
385,"7401-Plumosa-Ln,-Fort-Pierce,-FL-34951",,303.0,,,,,,
386,"23-Black-Bear-Rd,-Unit-509,-Waterville-Valley,-NH-03215",,,,,,,,
387,"3015-Cielo-Ct,-Santa-Fe,-NM-87507",,,,,,,,
388,"112-Church-St,-Ste-J,-Elkin,-NC-28621",,,,,,,,
389,"1541-Mcclaren-Dr,-Carmichael,-CA-95608",,,,,,,,
390,"42-Park-St,-East-Millinocket,-ME-04430",,,,,,,,
391,"521-Oakside-Pl,-Acworth,-GA-30102",2073.0,2254.0,,,,,,
392,"4650-Centauri-Rd,-Colorado-Springs,-CO-80919",,,,,,1964.0,,
393,"13031-Iris-Garden-Ln,-Houston,-TX-77044",,4013.0,1284.0,,,5264.0,,
394,"1735-Dynasty-Cir,-Glenn-Heights,-TX-75154",,7870.0,,,,4328.0,,
395,"1422-Todville-Rd,-Seabrook,-TX-77586",,14369.0,,,,,,
396,"3709-Venable-Ave,-Charleston,-WV-25304",2008.0,,,,,,,
397,"3111-Fairlanes-Blvd,-Apt-144,-Borger,-TX-79007",,,,,,,,
398,"6809-Midnight-Sun-Dr,-Maineville,-OH-45039",2676.0,2746.0,,,,,,
399,"16565-Vanowen-St,-Apt-101,-Van-Nuys,-CA-91406",,,,,,,,
400,"1525-Topping-Ave,-Kansas-City,-MO-64126",,,,313.0,,289.0,,
401,"710-Dove-Creek-Trl,-Southlake,-TX-76092",,6363.0,,,,,,
402,"131G-Taylor-Ave,-Unit-1,-Plymouth,-MA-02360",,,,,,,,
403,"904-Arnett-Dr,-Newport-News,-VA-23608",,,,,,,,
404,"143-Ranger-Rd,-Wells,-NY-12190",,,,,,,,
405,"6831-Lillian-Ln,-Eden-Prairie,-MN-55346",,,,11875.0,,,,
406,"11-Tillie-St,-Bay-Shore,-NY-11706",,,,,,,,
407,"9168-Maple-Grove-Dr,-Summerville,-SC-29485",,4304.0,,,,,,
408,"413-Brian-Dr,-Tallmadge,-OH-44278",,,,,,,,
409,"423-Dennison-Dr,-West-Mifflin,-PA-15122",,2177.0,,,,,,
410,"6847-Canyonpoint-Rd,-Castle-Rock,-CO-80108",,,,,,,,
411,"202-Bradford,-San-Antonio,-TX-78228",,403.0,,,2009.0,384.0,,
412,"214-S-9th-St,-Hamilton,-OH-45011",59.0,,,,,,,
413,"3800-W-Irving-Park-Rd,-Unit-2E,-Chicago,-IL-60618",,,,,,,,
414,"2912-Millie-Ave,-Las-Vegas,-NV-89101",,980.0,,,,895.0,,
415,"117-John-St,-Hagerstown,-MD-21740",,,,,,,633.0,
416,"40-Southwick-Dr,-Bedford,-OH-44146",,,,,,,,
417,"1094-Avondale-Rd,-South,-Euclid,-OH-44121",,,,,,,,
418,"427-National-Union-Blvd,-Tuckerton,-NJ-08087",,,,,,,,
419,"2669-Griffin-Ave,-Apt-103,-Los-Angeles,-CA-90031",,,,,,,,
420,"2016-Broderick-Ave,-Duarte,-CA-91010",,,,925.0,,,,
421,"11278-Cedar-Beach-Dr-NW,-Oronoco,-MN-55960",,,,,,,,
422,"442-Hillabee-Dr,-Montgomery,-AL-36117",,,,,651.0,,,
423,"2400-Parkland-Dr-NE,-Unit-369,-Atlanta,-GA-30324",,,,,,,,
424,"78-E-Crystal-Canyon-Cir,-Spring,-TX-77389",11038.0,11057.0,1623.0,,,,,
425,"526-Adams-St,-Owosso,-MI-48867",1786.0,,,1882.0,,,,
426,"4217-W-76th-St,-Apt-301,-Chicago,-IL-60652",,,,,563.0,,,
427,"3242-Utica-St,-Denver,-CO-80212",,3527.0,3087.0,,,,,
428,"6210-Presidential-Ln,-Unit-143,-Sacramento,-CA-95828",,,,,,,,
429,"13401-Legendary-Dr,-Apt-5108,-Austin,-TX-78727",,,,,,,,
430,"288-Kent-Rd,-Upper-Darby,-PA-19082",,,2906.0,3011.0,,,,
431,"612-Camino-Dr,-Mesquite,-TX-75149",,902.0,4421.0,,,,,
432,"1234-Sweet-Gum-Dr,-Brandon,-FL-33511",,1953.0,1829.0,,,,,
433,"14447-Austin-Creek-Ave,-Bakersfield,-CA-93314",,,6842.0,7202.0,,,,
434,"3440-E-Berkshire-Ct,-Unit-C,-Orange,-CA-92869",,4653.0,,4747.0,,,,
435,"17770-Seidner-Ave,-Escalon,-CA-95320",,,,,,,,
436,"2159-State-Rte,-131,-Batavia,-OH-45103",,,,,,,,
437,"3306-Pepperhill-Rd,-Lexington,-KY-40502",3385.0,,,2703.0,,,,
438,"2547-Sandy-Lake-Dr,-Friendswood,-TX-77546",,6400.0,,,,,,
439,"9814-N-2nd-Pl,-Phoenix,-AZ-85020",870.0,,,,,,,
440,"19183-Robson-St,-Detroit,-MI-48235",,757.0,2355.0,,1532.0,,,
441,"653-Lindell-Ave,-Apt-1,-Louisville,-KY-40211",,,,,,,,
442,"2321-Old-Greenville-Hwy,-Pendleton,-SC-29670",,3886.0,,,,,,
443,"295-Seven-Farms-Dr,-Ste-201,-Daniel-Island,-SC-29492",,,,,,,,
444,"914-Taxus-Dr,-Apt-103,-Odenton,-MD-21113",,,,,,,,
445,"310-Jennie-Ave,-Oxford,-MS-38655",,,,,,,,
446,"180-Fairway-Dr,-Abingdon,-VA-24211",,,,,,,,
447,"6520-Fairlawn-Dr,-Frisco,-TX-75035",,8958.0,,,,,,
448,"690-Lake-16-Dr,-Allegan,-MI-49010",,,1826.0,,,,,
449,"4346-Middlebrook-Rd,-Orlando,-FL-32811",,519.0,510.0,,,,,
450,"3964-Pomodoro-Cir,-Unit-104,-Cape-Coral,-FL-33909",,1305.0,,,,,,
451,"101-Eagle-Trace-Ct,-Panama-City-Beach,-FL-32413",,3346.0,,,,,,
452,"5438-E-20th-Pl,-Indianapolis,-IN-46218",775.0,,776.0,,,,,
453,"2332-Cerberus-Dr,-San-Antonio,-TX-78245",4676.0,4616.0,,4030.0,,,,
454,"7529-Southridge-Ln,-Savage,-MN-55378",,,,2408.0,,,,
455,"1006-Knollwood-Dr,-Birmingham,-AL-35242",,2538.0,,,,,,
456,"1130-Mountainbrook-Dr,-Shreveport,-LA-71118",,1947.0,,3006.0,,,,
457,"10111-Palo-Alto-St,-Rancho-Cucamonga,-CA-91730",,,,,,,,
458,"1-Ardley-Ln,-Bella-Vista,-AR-72714",,1422.0,,,,,,
459,"228-Ollie-Miller-Rd,-Jasper,-AL-35504",,,,,,,,
460,"83-Barrett-Ave,-Worcester,-MA-01605",,,,5938.0,,,,
461,"390-Harrison-Ave,-Apt-821,-Boston,-MA-02118",,,,,,,,
462,"PO-Box-482,-Gloucester-Point,-VA-23062",,,,,,,,
463,"27128-E-Lana-Ln,-Conroe,-TX-77385",,3505.0,3256.0,4682.0,,,,
464,"27-Kensington-Dr,-Mount-Holly,-NJ-08060",9377.0,,,,,,,
465,"3513-Roller-Xing,-Austin,-TX-78728",,7330.0,,,,4823.0,4815.0,
466,"2584-Panola-Rd,-Lithonia,-GA-30058",,,,,,,,
467,"2251-Forest-St,-Denver,-CO-80207",4420.0,4577.0,,,,,,
468,"2211-Butte-Pl,-Davis,-CA-95616",,,,3370.0,,,,
469,"2017-Warfield-Ave---B,-Redondo-Beach,-CA-90278",,7839.0,7607.0,,,,,
470,"179-Mahaffey-Dr,-Richmond-Hill,-GA-31324",2571.0,3020.0,,,,,,
471,"2101-Sw-Sunset-Blvd,-Apt-A112,-Renton,-WA-98057",,,,,,,,
472,"890-Old-Rocky-Rd,-Atlanta,-GA-30349",1523.0,1106.0,1061.0,,,,,
473,"640-W-Caladium-Cir,---B,-Panama-City-Beach,-FL-32413",,,1073.0,,,,,
474,"502-E-Chapman-Ave,-Fullerton,-CA-92832",,,,2297.0,,,,
475,"8-Serpentine-Rd,-Ringwood,-NJ-07456",,9134.0,,,,,,
476,"224-Bay-48th-St,-Brooklyn,-NY-11214",,4813.0,,5075.0,,4443.0,,
477,"7033-S-2980-W,-West-Jordan,-UT-84084",,2902.0,1906.0,,,,,
478,"8422-Ne-Knott-St,-Unit-B,-Portland,-OR-97220",,,,,,,,
479,"782-Bristol-Way,-Lithonia,-GA-30058",2504.0,2795.0,2252.0,,,,,
480,"136-Burns-Rd,-Spartanburg,-SC-29307",,1791.0,,,,,,
481,"2025-Sterling-Gate-Dr,-Heartland,-TX-75126",,6606.0,5894.0,,,6084.0,,
482,"5814-Maylandia-Rd,-Charlotte,-NC-28269",2436.0,2436.0,,3509.0,,,,
483,"8960-Sw-Hwy,-200-Ste-4,-Ocala,-FL-34481",,,,,,,,
484,"813-Sw-2nd-St,-Cape-Coral,-FL-33991",,,,,,,,
485,"2421-Lake-Kismet-Ter,-Cape-Coral,-FL-33993",,,,,,,,
486,"6-Teenia-St,-Thomasville,-NC-27360",,1298.0,,1298.0,,,,
487,"Cherokee-Dr,-Salida,-CO-81201",,,,,,,,
488,"7220-Lake-Hill-Trl,-Sachse,-TX-75048",6743.0,8856.0,,,,,,
489,"520-N-New-Jersey-St,-Indianapolis,-IN-46204",,,,,,,,
490,"1822-21st-St,-Apt-C,-Santa-Monica,-CA-90404",,,,,,,,
491,"1821-65th-St,-Kenosha,-WI-53143",1546.0,,,,,,,
492,"193-N-5th-St,-Apt-1,-San-Jose,-CA-95112",,,,,,,,
493,"3020-Westminster-Dr,-Dallas,-TX-75234",,8721.0,,,,,,
494,"4937-Sw-Nevada-Ct,-Portland,-OR-97219",,,,,,,,
495,"101-Brown-Dr,-Warner-Robins,-GA-31093",,756.0,,,,,,
496,"4957-Katella-Ave-Ste-B,-Cypress,-CA-90720",,,,,,,,
497,"2017-Dorchester-Rd,-Oklahoma-City,-OK-73130",,2376.0,,2520.0,,,,
498,"29-Glenwood-Ave,-Cambridge,-MA-02139",,,,,,,,
499,"494-Bridgeport-Ave-NW,-Palm-Bay,-FL-32907",,3852.0,,,,,,
